0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.01,0,0,0,-0.99,0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.01,0,0,-0.1,-0.17,-0.04
-0.02,-0.02,-0.17,-0.08,-0.1,-0.13,-0.04,-0.26,-0.04,-0.29,-0.22,-0.25,-0.1,-0.08,-0.08,-0.05,-0.01,-0.01,-0.01,-0.05,-0.04
0,0,0,-0.25,0,-0.82,0,-0.01,-0.01,-0.03,-0.02,-0.03,-0.02,-0.01,-0.02,0,-0.01,-1.47,0,-0.02,-0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-1.31,0,0,0,0,0,0,0,0,0,-1.72,-1.77,-0.02,-0.02,-0.01,-0.01,-0.16,-0.23
0,0,0,-0.05,0,0,0,0,0,0,0,0,0,-0.23,0,-2.15,0,0,-2.3,0,0
0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,-0.01,0
-1.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.01,-0.01,-0.01,-0.01,0,-0.01,0,-0.01,0,0,0,0,-0.01,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12
0,0,0,-0.86,-0.92,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,-0.77
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.42,-0.03,-0.09,-0.09,-0.07,-1.2,-0.01,-0.01,-0.01,-0.03,-0.03,-0.01,-0.01,-0.03,-0.01,0,-0.09,-0.01,-0.03,0
-0.01,-0.04,-0.03,-0.09,-0.06,-0.05,-0.03,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.03,-0.09,-0.07,-1.67,0,-0.01,-0.02,-0.03
-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.02,0,0,-0.14,-0.04,-0.07,-0.05,-0.25,-0.08,-0.11,-0.25,-0.1,-0.05,-0.15,-0.22,-0.35,-0.01,-0.01,0,-0.04,-0.02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02
0,0,0,-0.32,0,0,0,0,0,0,0,0,0,-0.05,0,0,0,0,0,0,-0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.03,0,0,0,0,0,0,0,0,0,-0.3,0,0,0,0,0,-2.38,-0.01
0,0,0,-0.09,0,0,0,0,0,0,0,0,0,-0.03,0,0,0,0,0,0,-1.45
-0.01,0,-0.05,-0.01,-0.01,-0.02,0,-0.03,0,-0.04,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.61,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.02,-0.02,-0.02,-0.2,-0.01,-0.02,-0.01,-0.03,-0.03,-0.04,-0.53,-0.14,-0.19,-0.02,-0.01,-0.18,-0.19,-0.27
-0.01,0,0,0,0,0,0,0,0,0,-1.31,-1.06,-0.01,0,-0.01,0,0,0,0,-0.04,-0.02
-0.01,-0.01,0,0,0,0,0,-0.01,-1.31,0,-0.02,-0.01,0,-0.01,-0.01,-0.01,0,0,0,-0.01,-0.01
-0.02,-0.18,0,-0.09,-0.11,-0.14,-1.11,-0.01,-0.04,-0.01,-0.02,-0.02,-0.02,-0.1,-0.05,-0.05,0,-0.01,-0.06,-0.02,-0.03
0,0,0,0,0,0,0,0,0,0,0,0,-1.35,0,0,0,0,0,0,0,0
0,0,-1.1,-0.01,-0.01,-0.02,0,-0.02,0,0,0,0,-0.01,-0.01,-0.01,-0.01,0,0,0,-0.01,-0.01
-0.01,0,-0.03,-0.02,0,-0.01,0,0,0,0,0,0,-0.01,-0.02,0,-0.01,0,0,0,-0.01,-0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1.76,0,0,0,0,0,0,-2.85
